■ 연도별 박스오피스,,,,,,,,,,
- 조회일: 2026-05-11,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,
▶ 검색조건 [ 조회기간: 2006   영화구분: 전체   국적: 한국   지역: 전체 ],,,,,,,,,,
순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사
47,열혈남아,2006-11-09,"2,833,659,800",0.50%,"465,895",218,"16,373",한국,한국,씨제이엔터테인먼트
48,호로비츠를 위하여,2006-05-25,"2,809,767,600",0.50%,"461,979",206,"13,535",한국,한국,(주)쇼박스
49,태풍,2005-12-14,"2,837,117,700",0.50%,"436,064",211,"10,477",한국,한국,씨제이엔터테인먼트
50,플라이 대디,2006-08-03,"2,560,456,300",0.50%,"431,231",220,"12,531",한국,한국,"(주)시네마서비스,씨제이엔터테인먼트"
51,사랑 따윈 필요 없어,2006-11-09,"2,564,215,300",0.50%,"425,306",274,"15,172",한국,한국,(주)쇼박스
52,원탁의 천사,2006-08-24,"2,355,815,200",0.40%,"401,660",179,"12,740",한국,한국,(주)쇼박스
53,아이스케키,2006-08-24,"2,246,093,000",0.40%,"392,808",189,"13,162",한국,한국,(주)엠케이픽처스
54,로망스,2006-03-16,"2,375,304,100",0.40%,"371,558",173,"13,290",한국,한국,씨제이엔터테인먼트
55,도마뱀,2006-04-27,"2,302,201,200",0.40%,"363,898",253,"13,883",한국,한국,(주)시네마서비스
56,모노폴리,2006-06-01,"2,193,575,600",0.40%,"357,955",136,"11,277",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
57,누가 그녀와 잤을까?,2006-11-16,"2,068,632,100",0.40%,"353,360",212,"14,953",한국,한국,씨제이엔터테인먼트
58,잔혹한 출근,2006-11-02,"2,074,122,300",0.40%,"348,060",238,"13,114",한국,한국,씨제이엔터테인먼트
59,뚝방전설,2006-09-07,"2,132,943,200",0.40%,"338,737",180,"13,465",한국,한국,(주)쇼박스
60,강적,2006-06-22,"1,956,841,000",0.30%,"318,142",235,"12,049",한국,한국,(주)쇼박스
61,그해 여름,2006-11-30,"1,743,815,200",0.30%,"290,512",283,"13,155",한국,한국,(주)쇼박스
62,청연,2005-12-29,"1,745,406,400",0.30%,"272,383",154,"6,066",한국,한국,코리아픽쳐스(주)
63,잘 살아보세,2006-09-28,"1,415,274,100",0.20%,"236,799",197,"12,595",한국,한국,
